Date,Open,High,Low,Close,Adj Close,Volume
1990-07-02,21.75,21.875,21.65625,21.8125,9.025136947631836,1448800
1990-07-03,21.90625,22.03125,21.8125,21.90625,9.06393051147461,1737200
1990-07-05,21.84375,21.875,21.6875,21.6875,8.973424911499023,981200
1990-07-06,21.5625,22.0,21.5625,21.875,9.051000595092773,1175600
1990-07-09,21.9375,22.1875,21.9375,22.09375,9.141511917114258,1728000
1990-07-10,22.15625,22.3125,22.0625,22.1875,9.18030071258545,1608000
1990-07-11,22.25,22.375,22.1875,22.375,9.257882118225098,1284000
1990-07-12,22.375,22.5625,22.3125,22.5,9.309603691101074,2215600
1990-07-13,22.53125,22.6875,22.40625,22.5625,9.335458755493164,2277600
1990-07-16,22.5625,22.5625,22.40625,22.46875,9.296670913696289,1213600
1990-07-17,22.5,22.5625,22.375,22.5625,9.335458755493164,1524800
1990-07-18,22.4375,22.5,22.34375,22.4375,9.283740043640137,1753200
1990-07-19,22.4375,22.5,22.375,22.5,9.309603691101074,1790800
1990-07-20,22.5,22.6875,22.40625,22.4375,9.283740043640137,3398800
1990-07-23,22.40625,22.40625,21.875,22.25,9.206160545349121,2585200
1990-07-24,22.28125,22.5625,22.125,22.5625,9.335458755493164,2229600
1990-07-25,22.5625,22.84375,22.46875,22.71875,9.400115966796875,1448400
1990-07-26,22.6875,22.71875,22.5,22.6875,9.38718032836914,1818800
1990-07-27,22.625,22.65625,22.40625,22.4375,9.283740043640137,1240400
1990-07-30,22.125,22.59375,22.09375,22.53125,9.322530746459961,1789200
1990-07-31,22.625,22.78125,22.5,22.59375,9.348387718200684,1614400
1990-08-01,22.625,22.8125,22.5,22.75,9.413042068481445,1233600
1990-08-02,22.5,22.5,22.125,22.25,9.206160545349121,2777600
1990-08-03,22.1875,22.1875,20.875,21.53125,8.908775329589844,4459600
1990-08-06,20.5,20.78125,20.4375,20.46875,8.469148635864258,3532400
1990-08-07,20.78125,20.875,20.53125,20.75,8.58552360534668,2956400
1990-08-08,20.8125,21.125,20.78125,21.0,8.688960075378418,1386800
1990-08-09,20.96875,21.09375,20.875,20.96875,8.676030158996582,1336400
1990-08-10,20.96875,21.03125,20.65625,20.8125,8.611381530761719,1219200
1990-08-13,20.6875,21.0,20.5625,20.9375,8.663101196289062,1286800
1990-08-14,20.875,21.15625,20.84375,20.96875,8.676030158996582,1108800
1990-08-15,21.125,21.28125,21.03125,21.21875,8.779475212097168,2148000
1990-08-16,21.0625,21.15625,20.75,20.75,8.58552360534668,1560400
1990-08-17,20.625,20.625,20.25,20.59375,8.5208740234375,5557600
1990-08-20,20.375,20.53125,20.25,20.4375,8.531824111938477,1481200
1990-08-21,20.25,20.53125,19.8125,20.3125,8.479647636413574,2946000
1990-08-22,20.21875,20.3125,19.78125,19.78125,8.257871627807617,1933200
1990-08-23,19.375,19.625,19.3125,19.375,8.088276863098145,2712400
