Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,71.5,72.62999725341797,70.69999694824219,72.62999725341797,31.800308227539062,1998088
2010-03-04,72.0,72.69999694824219,71.56999969482422,71.98999786376953,31.520092010498047,1250011
2010-03-05,72.19999694824219,72.87999725341797,72.01000213623047,72.13999938964844,31.585771560668945,989132
2010-03-09,72.18000030517578,74.66999816894531,72.16999816894531,74.25,32.50961685180664,2494498
2010-03-10,73.91000366210938,75.19999694824219,72.98999786376953,73.72000122070312,32.277565002441406,1915219
2010-03-11,73.27999877929688,74.16999816894531,72.9000015258789,73.2300033569336,32.063018798828125,3560662
2010-03-12,73.16000366210938,74.94999694824219,73.16000366210938,74.56999969482422,32.64971923828125,2091124
2010-03-15,74.30000305175781,76.19999694824219,74.01000213623047,74.2699966430664,32.51837158203125,1333416
2010-03-16,74.51000213623047,75.0999984741211,73.88999938964844,74.69000244140625,32.70226287841797,817967
2010-03-17,75.0999984741211,76.30000305175781,74.80000305175781,75.68000030517578,33.13572311401367,2106381
2010-03-18,75.80000305175781,77.12999725341797,75.0199966430664,75.69999694824219,33.14448165893555,1597348
2010-03-19,76.0,76.58999633789062,74.5,74.7699966430664,32.737281799316406,1236473
2010-03-22,74.7699966430664,75.75,73.55000305175781,75.0,32.837989807128906,1137905
2010-03-23,75.83000183105469,80.37999725341797,74.80000305175781,80.29000091552734,35.15416717529297,5453471
2010-03-24,81.0,81.83000183105469,79.0,81.30000305175781,35.59638595581055,4397174
2010-03-25,81.31999969482422,82.1500015258789,79.56999969482422,79.80000305175781,34.93962860107422,2596594
2010-03-26,80.01000213623047,80.19000244140625,78.25,79.19999694824219,34.67692565917969,2071205
2010-03-29,81.0,85.08999633789062,79.44000244140625,83.1500015258789,36.40638732910156,5731323
2010-03-30,83.08000183105469,84.69000244140625,81.66999816894531,82.47000122070312,36.10865020751953,3748167
2010-03-31,82.52999877929688,82.93000030517578,80.16999816894531,81.0,35.46502685546875,2291238
2010-04-01,81.01000213623047,81.95999908447266,79.8499984741211,80.7699966430664,35.364322662353516,1430377
2010-04-02,80.88999938964844,81.4800033569336,79.5,80.5,35.24611282348633,1790239
2010-04-05,80.69999694824219,83.33000183105469,80.55000305175781,82.80000305175781,36.25314712524414,2823005
2010-04-06,84.0999984741211,84.30000305175781,81.47000122070312,82.19999694824219,35.99043655395508,2265061
2010-04-07,82.23999786376953,82.4800033569336,79.58999633789062,79.87999725341797,34.97465133666992,1648711
2010-04-08,79.5999984741211,79.9000015258789,78.27999877929688,78.98999786376953,34.58497619628906,3472859
